Data,N°,Località,Attività,Spostamenti e Durata,Note,Hotel,€ hotel
"Friday,  31, ",1,San José,FCO 11:00 → SJO 20:19 PM,Trasferimento in hotel,Noleggio auto all aeroporto,Aloft San Jose Hotel - 115€ cancellazione 27 luglio Fabio,115
"Saturday,  1, ",2,Tortuguero,"Arrivi dopo pranzo
Relax villaggio/psicina
Sera tartarughe",Auto privata fino a La Pavona (circa 3-4 ore) e poi prendere una barca (circa 1-1.5 ore). , Biglietti Pavona-tortuguero alle 15.15/15.30      parcheggio prenotato,"
Aracari Garden Hostel - Prenotato ELE 200€ appartamento senza vera cucina - Prenotato su booking cancellazione 30 luglio",200
"Sunday,  2, ",3,Tortuguero,"Canoa nei Canali (All'alba): È l'attività principale. Si scivola silenziosamente sull'acqua. A 6 e 9 anni sono nell'età perfetta per giocare a ""chi avvista prima l'animale"". Vedrete sicuramente scimmie urlatrici, bradipi e basilischi (le lucertole che corrono sull'acqua).
Il Villaggio: Tortuguero è un paesino di una sola strada di sabbia, senza auto. Le bambine possono camminare liberamente, mangiare un gelato al cocco e guardare i bambini locali che giocano a calcio.
Sentiero del Parco Nazionale: C'è un sentiero terrestre facile e pianeggiante. È un po' fangoso (noleggiate gli stivali di gomma sul posto, le bambine li adoreranno!), ma perfetto per una passeggiata di un'ora.
Sea Turtle Conservancy: Un piccolo centro visitatori molto carino dove spiegano il ciclo di vita delle tartarughe con video e mostre adatte ai bambini.",no spostamenti,"Ristorante El Patio consigliato - 
 Tour de Canoa, Tour de Tortugas y
Caminata Diurna Guiada tiene un costo de $89 por adulto y $79 por niño, sin
incluir la entrada al Parque Naciona","
Aracari Garden Hostel - Prenotato ELE 200€ appartamento senza vera cucina - Prenotato su booking cancellazione 30 luglio",0
"Monday,  3, ",4,Tortuguero → Puerto Viejo e Cahuita,Spostamento + Relax,"Da Tortuguero a Puerto Viejo: ~3,5 ore in auto + 1,5h barca",,Bambutel Cocles - 320 - Booking ele camera familiare colazione inclusa cancellazione 31 luglio vicino a playa cocles,320
"Tuesday,  4, ",5,Puerto Viejo e Cahuita,"Mattina (9:30): Jaguar Rescue Center a circa 10min da puerto viejco tour collettivi alle 9:30 e alle 11:30 . È l’attività numero uno per le famiglie. Vedrete da vicino il lavoro di recupero di bradipi, scimmie e tucani. Dura circa 1h 30m.

Pranzo: In una delle sodas (trattorie locali) a Playa Cocles.

Pomeriggio: Pedalata in ""Banana Bike"". Noleggiate le biciclette e percorrete la strada costiera pianeggiante verso Playa Chiquita. È una spiaggia protetta da rocce che formano piccole piscine naturali, ideali per la bambina di 6 anni.

Sera: Cena nel centro di Puerto Viejo. L'atmosfera è magica con le luci dei locali e i negozietti aperti.",,,Bambutel Cocles - 320 - Booking ele camera familiare colazione inclusa cancellazione 31 luglio vicino a playa cocles,0
"Wednesday,  5, ",6,Puerto Viejo e Cahuita,"Mattina: Parco Nazionale di Cahuita. Spostatevi in auto (20 min) fino al villaggio di Cahuita. Entrate nel parco e percorrete il sentiero pianeggiante che costeggia il mare. Trekking completo da Cahuita a Puerto Vargas di circa undici chilometri. Tour da Da Cahuita in barca con snorkeling e camminata nel parco di circa un'ora, totale 4/ore

Per le bambine: È un vero safari a piedi. Vedrete scimmie cappuccino, iguane e bradipi senza fatica. Portate il costume: ogni tanto il sentiero si apre su spiagge deserte dove potete tuffarvi.

Pranzo: Nel villaggio di Cahuita (molto pittoresco e meno caotico di Puerto Viejo).

Pomeriggio: Snorkeling o Relax. Se il mare è calmo, potete fare un giro in barca sulla barriera corallina, altrimenti godetevi Playa Blanca proprio all'ingresso del parco.

Sera: Rientro a Puerto Viejo e cena a base di pesce fresco.",,,Bambutel Cocles - 320 - Booking ele camera familiare colazione inclusa cancellazione 31 luglio vicino a playa cocles,0
"Thursday,  6, ",7,Puerto Viejo e Cahuita,"Mattina: Punta Uva. Dirigetevi verso questa spiaggia (in bici o in auto). È la più bella della zona: acque piatte, niente correnti e palme che toccano l'acqua.

Attività extra: Noleggiate un kayak per 45 minuti e risalite il fiume che entra nella giungla proprio dietro la spiaggia. È facilissimo e vedrete tartarughe e uccelli esotici.

Pomeriggio: Caribeans Chocolate Tour. Un'esperienza deliziosa. Le bambine scoprono come si passa dal frutto alla tavoletta e potranno assaggiare il cioccolato artigianale più buono della zona.

Tramonto: Ultimo bagno a Playa Cocles mentre il sole scende.",,Chocorart fabbrica di cioccolato tra playa cocles e punta uva aperto dal l'un al ven dalle 8 alle 16,Bambutel Cocles - 320 - Booking ele camera familiare colazione inclusa cancellazione 31 luglio vicino a playa cocles,0
"Friday,  7, ",8,Puerto Viejo e Cahuita → Arenal (La Fortuna),Spostamento + terme serali? TOUR notturno vedere bradipi e animali Bogarian Trail alle 17:00 per 2 ore? Relax,Da Puerto Viejo a La Fortuna: ~4-5 ore di viaggio,,"
Hotel Roca Negra 180 camera queen superiore  con patio senza colazione, piscina- Ele (31 luglio+)
",240
"Saturday,  8, ",9,Arenal (La Fortuna),"Mattina (ore 8:30): Mistico Hanging Bridges.

Perché: È un percorso di ponti sospesi nella giungla. Per le bambine è emozionante camminare sopra le chiome degli alberi. Il sentiero è ben curato e non troppo faticoso.

Consiglio: Prenotate una guida; senza di loro vedreste solo ""muri di verde"", con loro vedrete bradipi, serpenti colorati e formiche tagliafoglie al lavoro.

Pranzo: In una ""Soda"" (es. Soda Hormigas) per un Casado veloce e genuino.

Pomeriggio (ore 14:00): Cascata La Fortuna.

L'attività: Ci sono circa 500 scalini per scendere (e poi risalire!). A 6 e 9 anni le bambine hanno l'energia per farlo. In fondo c'è una cascata spettacolare di 70 metri con una piscina naturale dove si può fare un bagno rinfrescante (l'acqua è fredda, ma rigenerante).

Tardo Pomeriggio/Sera: Relax alle Terme.

Proposta: Per le famiglie, le Terme Baldi sono fantastiche perché hanno molti scivoli e piscine di varie temperature. Se cercate qualcosa di più naturale e meno ""parco giochi"", le Terme Tabacón (più costose) o EcoTermales sono meravigliose.

Cena: Molti pacchetti terme includono la cena a buffet, comodissima per chiudere la giornata.",,,"
Hotel Roca Negra 180 camera queen superiore  con patio senza colazione, piscina- Ele (31 luglio+)
",0
"Sunday,  9, ",10,Arenal (La Fortuna) → Monteverde,Spostamento +con tappa mattutina alla Cascata La Fortuna Relax,Da Arenal a Monteverde: ~3-4 ore,,1968house - Ele - canc 4 agosto 170€,170
